open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,market_cap
2021-01-15,39145.21,39747.76,34408.0,36742.22,118300.920916,2021-01-15 23:59:59.999,4371588898.681637,2560801,57738.03422,2133723812.7598624,0,733029334332.0
2021-01-16,36737.43,37950.0,35357.8,35994.98,86348.431508,2021-01-16 23:59:59.999,3178840336.1492844,2066363,42420.423736,1563160122.0113344,0,718121447988.0001
2021-01-17,35994.98,36852.5,33850.0,35828.61,80157.727384,2021-01-17 23:59:59.999,2843103040.240664,1860642,39513.638561,1402648632.8512247,0,714802266666.0
2021-01-18,35824.99,37469.83,34800.0,36631.27,70698.11875,2021-01-18 23:59:59.999,2554843260.524399,1707766,35621.506048,1289347187.1665287,0,730815815261.9999
2021-01-19,36622.46,37850.0,35844.06,35891.49,79611.307769,2021-01-19 23:59:59.999,2935348499.344214,1939371,38704.68162,1428235709.8519692,0,716056760394.0
2021-01-20,35901.94,36415.31,33400.0,35468.23,89368.422918,2021-01-20 23:59:59.999,3126721093.520776,2234539,42546.634077,1489289968.43647,0,707612469438.0001
2021-01-21,35468.23,35600.0,30071.0,30850.13,135004.076658,2021-01-21 23:59:59.999,4386783586.504226,2881505,63256.210448,2057240516.6191928,0,615478603578.0
2021-01-22,30851.99,33826.53,28850.0,32945.17,142971.684049,2021-01-22 23:59:59.999,4483295872.022273,2707810,70150.188455,2201161570.4986706,0,657275908602.0
2021-01-23,32950.0,33456.0,31390.16,32078.0,64595.287675,2021-01-23 23:59:59.999,2089098295.758437,1700056,32680.776128,1057114174.5522273,0,639975346800.0
2021-01-24,32078.0,33071.0,30900.0,32259.9,57978.037966,2021-01-24 23:59:59.999,1864609665.3657017,1528287,27826.119197,895721122.0169544,0,643604360940.0
2021-01-25,32259.45,34875.0,31910.0,32254.2,88499.226921,2021-01-25 23:59:59.999,2958759288.5635686,2106548,44489.524132,1488432034.4924214,0,643490642520.0
2021-01-26,32254.19,32921.88,30837.37,32467.77,84972.20691,2021-01-26 23:59:59.999,2708545364.494641,2010392,42402.312917,1352678098.8663208,0,647751492162.0
2021-01-27,32464.01,32557.29,29241.72,30366.15,95911.961711,2021-01-27 23:59:59.999,2958081421.641559,2065953,46664.381638,1440079785.1205118,0,605822912190.0
2021-01-28,30362.19,33783.98,29842.1,33364.86,92621.145617,2021-01-28 23:59:59.999,2953553214.0656815,2060660,46067.782326,1468956156.4850712,0,665648975916.0
2021-01-29,33368.18,38531.9,31915.4,34252.2,231827.005626,2021-01-29 23:59:59.999,8195593336.228466,4403349,116537.247847,4121941033.637325,0,683351941320.0
2021-01-30,34246.28,34933.0,32825.0,34262.88,84889.68134,2021-01-30 23:59:59.999,2884500062.9380784,2201040,42418.467099,1441981400.6536381,0,683565013728.0
2021-01-31,34262.89,34342.69,32171.67,33092.98,68742.280384,2021-01-31 23:59:59.999,2289641045.7580123,1707064,32480.447358,1082502551.5205712,0,660224806788.0001
2021-02-01,33092.97,34717.27,32296.16,33526.37,82718.276882,2021-02-01 23:59:59.999,2791776658.0056057,1810492,41855.841486,1413158966.728098,0,668871197322.0
2021-02-02,33517.09,35984.33,33418.0,35466.24,78056.65988,2021-02-02 23:59:59.999,2716321896.3176084,1789672,39216.563106,1364790964.6368997,0,707572767744.0
2021-02-03,35472.71,37662.63,35362.38,37618.87,80784.333663,2021-02-03 23:59:59.999,2951232788.1843047,1881740,39863.07506,1456248046.1419172,0,750519027822.0
2021-02-04,37620.26,38708.27,36161.95,36936.66,92080.735898,2021-02-04 23:59:59.999,3452669022.153292,2211866,45516.21369,1707710013.8895383,0,736908528996.0001
