open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,market_cap
2022-03-07,38420.8,42594.06,37155.0,37777.34,374777.65361,2022-03-13 23:59:59.999,14764496466.377066,8576202,184176.48268,7257778809.911877,0,753680599403.9999
2022-03-14,37777.35,42400.0,37555.0,41262.11,323399.671,2022-03-20 23:59:59.999,13045068424.15988,7828983,160980.02075,6493866977.457049,0,823203851766.0
2022-03-21,41262.11,46999.0,40467.94,46827.76,315436.15044,2022-03-27 23:59:59.999,13657786157.688328,7404092,158386.2017,6861332204.338121,0,934241908656.0
2022-03-28,46827.76,48189.84,44200.0,46407.35,312053.15964,2022-04-03 23:59:59.999,14562359846.879017,8362296,154410.52633,7206859226.584209,0,925854476910.0
2022-04-04,46407.36,47200.0,41868.0,42158.85,268118.29111,2022-04-10 23:59:59.999,11891061200.0745,7117155,130948.44754,5808536417.139713,0,841094352810.0
2022-04-11,42158.85,42414.71,39200.0,39678.12,259281.0487,2022-04-17 23:59:59.999,10492029074.432064,5921631,126175.26392,5107109884.346128,0,791602300872.0
2022-04-18,39678.11,42976.0,38536.51,39450.13,283885.03637,2022-04-24 23:59:59.999,11530224571.577888,7307352,140430.82007,5705214688.751349,0,787053763578.0
2022-04-25,39450.12,40797.31,37386.38,38468.35,368444.26814,2022-05-01 23:59:59.999,14366905362.211203,8168960,182205.04628,7107113319.039257,0,767466663510.0
2022-05-02,38468.35,40023.77,33713.95,34038.4,419979.5829,2022-05-08 23:59:59.999,15553421461.79525,8540020,204305.32052,7582347504.983533,0,679086503040.0
2022-05-09,34038.39,34243.15,26700.0,31328.89,964223.849274,2022-05-15 23:59:59.999,29301810530.841793,16818661,460216.815397,13971509225.08758,0,625030152834.0
2022-05-16,31328.89,31328.9,28654.47,30293.94,375096.22376,2022-05-22 23:59:59.999,11177195347.940817,9177698,189713.27257,5654555850.589586,0,604382279364.0
2022-05-23,30293.93,30670.51,28019.56,29468.1,430508.71991,2022-05-29 23:59:59.999,12611294754.572104,7332430,208897.25934,6121946892.636766,0,587906275860.0
2022-05-30,29468.1,32399.0,29282.36,29919.21,422401.40352,2022-06-05 23:59:59.999,12912323442.261396,7249030,202549.7786,6188339634.436444,0,596906191026.0
